1,삼성전자,"59,700",900,+1.53%,100,"3,563,960","5,969,783",49.77,"13,471,860",9.06,13.92,
2,LG에너지솔루션,"462,500","3,000",-0.64%,500,"1,082,250","234,000",4.20,"426,116",768.27,10.68,
3,SK하이닉스,"95,200","2,000",+2.15%,"5,000","693,058","728,002",50.11,"2,314,622",6.04,16.84,
4,삼성바이오로직스,"835,000","1,000",-0.12%,"2,500","594,303","71,174",10.68,"51,809",111.05,8.21,
5,삼성전자우,"54,500",200,-0.37%,100,"448,473","822,887",71.92,"1,189,931",8.27,N/A,
6,LG화학,"632,000","21,000",+3.44%,"5,000","446,144","70,592",47.89,"217,116",22.28,18.47,
7,현대차,"196,000",500,+0.26%,"5,000","418,790","213,668",28.35,"708,582",8.70,6.84,
8,삼성SDI,"598,000","20,000",+3.46%,"5,000","411,212","68,765",43.96,"256,172",27.90,8.45,
9,NAVER,"240,000","2,000",+0.84%,100,"393,718","164,049",53.25,"400,486",39.15,106.72,
10,기아,"80,800",700,+0.87%,"5,000","327,534","405,363",36.69,"1,314,340",6.18,14.69,
11,카카오,"73,400",200,+0.27%,100,"326,740","445,150",28.73,"1,338,138",14.68,17.10,
12,셀트리온,"189,500","1,000",+0.53%,"1,000","266,801","140,792",20.83,"295,142",47.41,16.04,
13,삼성물산,"120,500","1,000",+0.84%,100,"225,199","186,887",16.37,"317,664",14.35,5.40,
14,POSCO홀딩스,"255,000","1,000",+0.39%,"5,000","222,326","87,187",52.62,"416,311",3.08,13.97,
15,현대모비스,"215,000","1,500",+0.70%,"5,000","203,332","94,573",35.16,"228,191",8.57,6.87,
16,KB금융,"49,450",150,-0.30%,"5,000","202,200","408,897",73.64,"1,262,676",4.47,9.80,
17,신한지주,"36,600",750,+2.09%,"5,000","187,734","512,934",61.70,"1,924,655",4.62,8.80,
18,SK이노베이션,"190,000","6,500",-3.31%,"5,000","175,685","92,466",25.86,"701,549",6.94,1.91,
19,SK,"233,000","5,500",+2.42%,200,"172,768","74,149",22.29,"257,275",5.23,10.19,
20,LG전자,"101,000","3,500",+3.59%,"5,000","165,284","163,648",26.15,"706,862",9.91,6.32,
21,한국전력,"20,950",200,+0.96%,"5,000","134,491","641,964",14.81,"1,531,660",-0.87,-7.99,
22,포스코케미칼,"168,000",0,0.00%,500,"130,138","77,463",7.21,"667,298",94.92,7.92,
23,카카오뱅크,"27,300",0,0.00%,"5,000","130,118","476,621",13.65,"1,585,585",55.26,4.91,
24,두산에너빌리티,"20,350","1,350",-6.22%,"5,000","129,896","638,308",10.98,"23,844,369",153.01,10.67,
25,LG,"82,000",500,+0.61%,"5,000","128,987","157,301",36.27,"222,814",5.64,12.36,
26,현대중공업,"143,500","2,500",+1.77%,"5,000","127,389","88,773",5.78,"301,790",-17.25,-14.87,
27,고려아연,"672,000","53,000",+8.56%,"5,000","126,806","18,870",19.64,"270,645",14.88,11.07,
28,삼성생명,"62,000",600,+0.98%,500,"124,000","200,000",13.18,"248,054",19.05,4.01,
29,크래프톤,"246,500","7,500",+3.14%,100,"120,963","49,072",28.93,"131,468",19.15,17.86,
30,하나금융지주,"39,250",450,+1.16%,"5,000","116,142","295,903",71.75,"1,859,269",3.28,10.86,
31,S-Oil,"101,500","3,500",-3.33%,"2,500","114,272","112,583",82.24,"735,673",4.72,21.76,
32,KT&G,"83,200",200,+0.24%,"5,000","114,227","137,292",40.09,"411,527",10.79,10.74,
33,SK텔레콤,"52,100",100,+0.19%,100,"114,012","218,833",47.04,"3,257,593",8.98,13.63,
34,LG생활건강,"712,000","2,000",+0.28%,"5,000","111,202","15,618",37.85,"29,651",21.14,16.65,
35,HMM,"22,250",450,+2.06%,"5,000","108,811","489,039",8.28,"2,981,092",0.93,88.62,
36,삼성전기,"140,000","5,000",+3.70%,"5,000","104,571","74,694",25.71,"674,197",10.53,14.29,
37,한화솔루션,"52,600",400,+0.77%,"5,000","100,612","191,278",20.74,"3,184,702",28.95,8.79,
38,삼성에스디에스,"128,500",0,0.00%,500,"99,430","77,378",13.23,"168,469",13.07,8.80,
39,대한항공,"26,850",750,+2.87%,"5,000","98,867","368,221",13.79,"1,975,962",6.28,11.60,
40,KT,"37,200",700,-1.85%,"5,000","97,134","261,112",45.61,"1,194,145",6.75,9.36,
41,삼성화재,"195,000","1,000",+0.52%,500,"92,381","47,375",49.71,"90,703",8.71,7.09,
42,우리금융지주,"12,200",150,+1.24%,"5,000","88,823","728,061",39.95,"5,447,648",3.21,10.59,
43,SK바이오사이언스,"113,000",500,-0.44%,500,"86,766","76,784",3.58,"420,028",25.88,38.08,
44,엔씨소프트,"378,500","6,500",+1.75%,500,"83,096","21,954",42.12,"77,125",16.32,12.62,
45,카카오페이,"62,200",200,-0.32%,500,"82,472","132,592",43.38,"253,695",-314.14,-2.45,
46,LG이노텍,"344,000","8,500",+2.53%,"5,000","81,415","23,667",24.88,"278,151",8.45,30.94,
47,하이브,"181,500","11,500",+6.76%,500,"75,056","41,353",15.63,"480,349",31.98,6.83,
48,아모레퍼시픽,"123,000",500,-0.40%,500,"71,946","58,493",25.94,"203,231",101.07,4.20,
49,기업은행,"9,570",40,-0.42%,"5,000","71,230","744,301",13.50,"851,012",3.07,9.21,
50,한국조선해양,"97,200",300,+0.31%,"5,000","68,791","70,773",20.98,"272,123",-9.92,-8.95,
51,현대글로비스,"176,500","2,500",+1.44%,500,"66,188","37,500",45.85,"115,296",6.39,14.41,
52,CJ제일제당,"407,500",500,-0.12%,"5,000","61,346","15,054",24.57,"27,614",10.29,10.76,
53,롯데케미칼,"175,000","1,000",+0.57%,"5,000","59,982","34,275",23.29,"97,608",11.68,9.87,
54,한국항공우주,"61,000","1,700",+2.87%,"5,000","59,460","97,475",21.62,"1,616,266",70.11,5.19,
55,SK아이이테크놀로지,"83,200","2,700",+3.35%,"1,000","59,320","71,298",10.75,"347,630",459.67,5.57,
56,SK스퀘어,"40,500",750,+1.89%,100,"57,294","141,468",41.32,"458,299",2.51,N/A,
57,KODEX 200,"32,230",245,+0.77%,0,"57,095","177,150",5.33,"4,482,718",N/A,N/A,
58,강원랜드,"26,550",150,-0.56%,500,"56,801","213,940",22.13,"408,565",138.28,-0.33,
59,SK바이오팜,"71,600",300,-0.42%,500,"56,072","78,313",5.72,"177,819",-72.10,15.75,
60,LG디스플레이,"15,600",150,+0.97%,"5,000","55,819","357,816",17.84,"875,506",26.53,9.68,
61,한온시스템,"10,300",100,-0.96%,100,"54,981","533,800",17.09,"648,620",29.43,13.83,
62,F&F,"142,500","2,500",+1.79%,100,"54,588","38,307",12.80,"97,007",14.91,N/A,
63,넷마블,"63,500",100,+0.16%,100,"54,580","85,954",23.14,"145,576",-234.32,4.29,
64,현대건설,"48,200",550,+1.15%,"5,000","53,673","111,356",22.66,"1,032,294",9.51,5.89,
65,삼성중공업,"5,970",0,0.00%,"1,000","52,536","880,000",16.41,"5,612,578",-7.89,-36.89,
66,맥쿼리인프라,"12,800",50,+0.39%,0,"51,820","404,846",13.51,"596,150",N/A,N/A,
67,LG유플러스,"11,500",250,-2.13%,"5,000","50,210","436,611",37.51,"2,024,454",7.85,9.47,
68,HD현대,"63,200",300,+0.48%,"1,000","49,924","78,993",16.78,"264,372",5.62,-1.99,
69,한국타이어앤테크놀로지,"37,950",300,-0.78%,500,"47,011","123,875",36.56,"307,416",6.89,7.69,
70,코웨이,"63,700",800,+1.27%,500,"47,010","73,800",61.62,"194,336",9.56,27.41,
71,SKC,"121,500","3,000",+2.53%,"5,000","46,010","37,868",15.41,"285,625",15.68,11.60,
72,삼성엔지니어링,"23,450",450,-1.88%,"5,000","45,962","196,000",39.91,"2,029,941",10.79,20.67,
73,메리츠화재,"38,350",550,+1.46%,500,"44,794","116,802",11.36,"173,710",6.22,26.12,
74,현대제철,"32,900",50,-0.15%,"5,000","43,904","133,446",21.31,"335,835",2.26,8.54,
75,롯데지주,"41,450",350,+0.85%,200,"43,485","104,909",8.78,"316,305",13.04,4.61,
76,GS,"46,050",600,-1.29%,"5,000","42,788","92,915",23.81,"261,571",1.97,15.55,
77,현대미포조선,"107,000","2,500",-2.28%,"5,000","42,738","39,942",18.69,"478,670",-101.42,-7.11,
78,DB손해보험,"59,700",400,-0.67%,500,"42,268","70,800",42.60,"135,359",4.53,13.38,
79,유한양행,"56,800",200,+0.35%,"1,000","41,595","73,231",19.42,"182,408",43.19,5.45,
80,한화에어로스페이스,"81,400","4,500",+5.85%,"5,000","41,213","50,630",18.85,"2,682,639",26.68,9.21,
81,미래에셋증권,"6,560",40,-0.61%,"5,000","40,365","615,316",13.02,"809,932",4.90,11.66,
82,한국가스공사,"43,500","1,250",-2.79%,"5,000","40,156","92,313",11.17,"732,813",2.92,11.63,
83,메리츠금융지주,"30,800",700,+2.33%,500,"39,682","128,838",6.63,"163,889",4.36,22.33,
84,금호석유,"130,000",0,0.00%,"5,000","39,385","30,296",20.41,"73,011",2.77,47.76,
85,오리온,"98,400",600,-0.61%,500,"38,904","39,536",35.74,"127,440",13.32,12.75,
86,한미약품,"308,000","6,500",+2.16%,"2,500","37,939","12,318",14.50,"31,138",48.14,8.75,
87,삼성카드,"31,350",100,-0.32%,"5,000","36,322","115,859",6.80,"42,085",6.33,7.53,
88,에스디바이오센서,"35,150",800,+2.33%,500,"36,300","103,271",13.50,"393,298",3.11,72.47,
89,한진칼,"52,800","1,200",-2.22%,"2,500","35,250","66,761",16.27,"202,324",4.44,1.11,
90,두산밥캣,"34,700",250,-0.72%,500,"34,786","100,249",25.29,"216,047",8.31,9.19,
91,쌍용C&E,"6,830",10,+0.15%,100,"34,414","503,860",2.81,"195,682",29.06,11.12,
92,일진머티리얼즈,"74,200",900,+1.23%,500,"34,214","46,111",9.66,"287,332",58.10,7.85,
93,현대차2우B,"93,300",300,+0.32%,"5,000","34,041","36,485",59.81,"91,483",4.14,N/A,
94,TIGER 차이나전기차SOLACTIVE,"14,710",680,-4.42%,0,"33,139","225,280",0.44,"8,411,672",N/A,N/A,
95,포스코인터내셔널,"26,850",300,-1.10%,"5,000","33,126","123,375",8.48,"1,157,055",6.22,10.86,
96,현대로템,"30,300",850,+2.89%,"5,000","33,070","109,142",4.13,"8,889,811",39.56,5.01,
97,현대오토에버,"120,500",0,0.00%,500,"33,046","27,424",1.92,"51,280",42.67,7.26,
98,NH투자증권,"9,950",10,+0.10%,"5,000","33,001","331,666",13.28,"585,248",5.12,14.77,
99,한국금융지주,"56,800",200,-0.35%,"5,000","31,652","55,726",33.33,"243,701",2.10,27.12,
100,메리츠증권,"4,840",50,+1.04%,"1,000","30,962","639,711",13.72,"1,184,088",4.23,15.77,
101,삼성증권,"33,900",100,-0.29%,"5,000","30,273","89,300",27.07,"225,876",4.32,16.94,
102,한미사이언스,"43,300","1,850",+4.46%,500,"29,714","68,624",1.32,"275,909",57.66,6.37,
103,한화시스템,"15,550",150,+0.97%,"5,000","29,377","188,919",3.18,"887,683",158.67,6.04,
104,씨에스윈드,"68,700",200,-0.29%,500,"28,972","42,171",10.73,"340,238",166.75,10.13,
105,호텔신라,"73,800",200,-0.27%,"5,000","28,965","39,248",16.55,"336,901",88.49,4.51,
106,아모레G,"34,900",400,+1.16%,500,"28,778","82,458",14.72,"154,443",78.25,5.49,
107,현대해상,"31,500",150,-0.47%,500,"28,161","89,400",32.26,"283,074",6.13,8.82,
108,한전기술,"73,600",300,+0.41%,200,"28,130","38,220",2.14,"364,288",165.02,3.25,
109,OCI,"117,500","4,000",-3.29%,"5,000","28,023","23,849",12.00,"696,211",3.75,23.93,
110,롯데쇼핑,"98,800",500,-0.50%,"5,000","27,949","28,289",12.08,"47,695",-24.32,-2.94,
111,BGF리테일,"160,500",500,+0.31%,"1,000","27,741","17,284",31.24,"52,262",16.48,19.61,
112,팬오션,"5,150",10,-0.19%,"1,000","27,530","534,570",15.34,"2,780,614",3.48,17.16,
113,이마트,"97,800",500,+0.51%,"5,000","27,263","27,876",26.74,"175,087",1.56,16.25,
114,CJ대한통운,"118,500",500,-0.42%,"5,000","27,033","22,812",18.48,"39,867",14.83,1.59,
115,GS리테일,"25,400",550,+2.21%,"1,000","26,598","104,718",7.05,"242,597",3.29,25.58,
116,KCC,"294,500","3,000",+1.03%,"5,000","26,171","8,886",9.95,"28,197",-10.31,-0.92,
117,GS건설,"30,150",250,+0.84%,"5,000","25,803","85,581",30.84,"910,411",5.32,9.32,
118,만도,"54,000",300,-0.55%,"1,000","25,357","46,957",21.39,"129,016",24.05,9.31,
119,제일기획,"21,900",100,-0.45%,200,"25,194","115,041",32.50,"183,594",13.72,15.58,
120,두산퓨얼셀,"38,300",350,+0.92%,100,"25,084","65,494",16.28,"408,203",324.58,1.69,
121,한솔케미칼,"218,500","6,500",+3.07%,"5,000","24,767","11,335",36.18,"43,499",16.34,23.88,
122,동서,"24,450",250,+1.03%,500,"24,377","99,700",3.05,"43,687",21.01,8.05,
123,한화,"31,850",700,-2.15%,"5,000","23,874","74,959",16.24,"696,788",2.98,20.22,
124,대한전선,"1,875",115,-5.78%,100,"23,334","1,244,473",2.90,"48,137,876",49.34,7.78,
125,LIG넥스원,"106,000","2,500",+2.42%,"5,000","23,320","22,000",12.03,"259,940",15.69,14.63,
126,LG화학우,"301,000","11,000",+3.79%,"5,000","23,143","7,689",70.40,"19,992",10.61,N/A,
127,CJ,"78,200",400,+0.51%,"5,000","22,816","29,177",17.49,"44,234",8.61,5.66,
128,키움증권,"85,600","1,800",+2.15%,"5,000","22,444","26,220",24.34,"49,671",3.10,25.38,
129,현대차우,"91,200",500,-0.55%,"5,000","22,213","24,357",57.28,"49,302",4.05,N/A,
130,에스원,"58,200",800,+1.39%,500,"22,116","37,999",53.22,"99,783",18.02,9.13,
131,신세계,"223,500","3,000",+1.36%,"5,000","22,004","9,845",27.83,"47,757",5.44,8.54,
132,BNK금융지주,"6,710",10,+0.15%,"5,000","21,870","325,935",37.88,"957,241",2.50,8.76,
133,KODEX 레버리지,"15,510",220,+1.44%,0,"21,706","139,950",1.63,"20,363,204",N/A,N/A,
134,TIGER 미국나스닥100,"74,495","1,090",-1.44%,0,"21,656","29,070",0.06,"272,832",N/A,N/A,
135,대우조선해양,"20,150",250,-1.23%,"5,000","21,619","107,291",3.55,"383,527",-1.93,-55.86,
136,대우건설,"5,200",40,+0.78%,"5,000","21,612","415,623",10.15,"1,138,448",5.15,16.47,
137,LS,"67,100",0,0.00%,"5,000","21,606","32,200",14.72,"137,555",6.73,8.15,
138,하이트진로,"30,500",0,0.00%,"5,000","21,391","70,134",12.38,"121,020",22.71,6.62,
139,TIGER 200,"32,235",235,+0.73%,0,"20,808","64,550",0.05,"699,417",N/A,N/A,
140,KODEX 200선물인버스2X,"3,010",40,-1.31%,0,"20,688","687,300",2.66,"165,222,915",N/A,N/A,
141,현대위아,"76,000",700,+0.93%,"5,000","20,668","27,195",9.71,"389,964",9.14,1.96,
142,DB하이텍,"46,500",200,+0.43%,"5,000","20,645","44,399",26.45,"715,787",3.91,33.35,
143,대웅제약,"175,500","1,000",-0.57%,"2,500","20,334","11,587",8.52,"11,373",27.96,4.39,
144,한화생명,"2,310",20,-0.86%,"5,000","20,063","868,530",7.52,"894,731",2.18,10.79,
145,코스모신소재,"64,700",200,+0.31%,"1,000","19,831","30,651",9.32,"578,706",80.27,9.42,
146,영원무역,"44,600",750,+1.71%,500,"19,763","44,311",29.15,"71,223",4.33,14.71,
147,녹십자,"164,000","5,500",+3.47%,"5,000","19,166","11,687",22.45,"44,669",15.36,10.30,
148,효성첨단소재,"424,000","3,000",+0.71%,"5,000","18,995","4,480",6.56,"25,965",8.10,54.69,
149,휠라홀딩스,"31,200",0,0.00%,"1,000","18,955","60,752",39.36,"179,436",9.03,16.20,
150,한전KPS,"41,350",150,+0.36%,200,"18,608","45,000",5.69,"281,957",27.44,9.12,
151,TIGER 미국S&P500,"13,485",195,-1.43%,0,"18,360","136,150",0.42,"2,150,692",N/A,N/A,
152,농심,"300,000","2,500",-0.83%,"5,000","18,248","6,083",13.35,"15,133",16.10,4.73,
153,롯데정밀화학,"70,500",0,0.00%,"5,000","18,189","25,800",19.22,"67,427",3.71,30.43,
154,에스엘,"38,450","1,200",+3.22%,500,"17,859","46,449",16.16,"460,288",17.53,6.63,
155,KODEX KOFR금리액티브(합성),"100,670",5,0.00%,0,"17,814","17,695",0.00,"50,540",N/A,N/A,
156,오뚜기,"479,000","3,500",-0.73%,"5,000","17,589","3,672",12.12,"2,871",11.76,8.91,
157,SK케미칼,"97,800",600,+0.62%,"5,000","17,233","17,621",20.17,"59,792",13.02,11.19,
158,LX인터내셔널,"43,250",500,+1.17%,"5,000","16,764","38,760",28.74,"490,429",3.20,22.49,
159,LS ELECTRIC,"55,800","1,100",-1.93%,"5,000","16,740","30,000",12.49,"159,622",18.11,5.86,
160,TIGER 단기통안채,"101,175",5,0.00%,0,"16,493","16,301",4.73,"2,005,452",N/A,N/A,
161,DL이앤씨,"40,950",150,-0.36%,"5,000","15,845","38,694",21.74,"265,818",3.36,N/A,
162,효성,"74,700",0,0.00%,"5,000","15,740","21,071",5.25,"23,105",5.26,18.04,
163,동원시스템즈,"54,100",400,-0.73%,"5,000","15,684","28,991",13.23,"9,233",33.75,6.95,
164,KODEX 단기채권PLUS,"103,995",10,+0.01%,0,"15,292","14,705",0.00,"506,175",N/A,N/A,
165,후성,"16,200",50,+0.31%,500,"15,002","92,607",5.65,"1,325,868",20.12,9.61,
166,JB금융지주,"7,590",100,+1.34%,"5,000","14,951","196,983",27.36,"178,331",2.76,12.80,
167,신풍제약,"27,950",250,-0.89%,500,"14,809","52,985",6.10,"249,422",-66.08,-3.19,
168,솔루스첨단소재,"41,800",450,+1.09%,100,"14,676","35,111",5.51,"125,912",187.44,4.00,
169,대덕전자,"29,650","1,900",+6.85%,500,"14,652","49,417",18.40,"1,672,385",11.51,9.55,
170,현대백화점,"61,900",200,+0.32%,"5,000","14,486","23,402",20.95,"61,103",6.78,4.36,
171,코오롱인더,"52,500",200,+0.38%,"5,000","14,448","27,519",18.18,"99,344",8.32,8.20,
172,롯데칠성,"154,500","3,000",+1.98%,500,"14,336","9,279",12.28,"24,991",9.43,9.96,
173,대성홀딩스,"88,600",400,+0.45%,"1,000","14,255","16,089",4.12,"375,829",62.13,3.61,
174,TIGER 미국필라델피아반도체나스닥,"9,870",145,-1.45%,0,"14,252","144,400",0.00,"2,595,255",N/A,N/A,
175,대웅,"24,250",50,+0.21%,500,"14,099","58,142",4.35,"31,633",12.51,11.13,
176,TIGER 미국테크TOP10 INDXX,"11,035",155,-1.39%,0,"14,053","127,350",0.30,"1,175,831",N/A,N/A,
177,DL,"66,800",800,-1.18%,"5,000","13,999","20,956",9.69,"58,256",8.99,26.52,
178,두산,"82,800",500,+0.61%,"5,000","13,682","16,524",10.00,"177,050",-16.69,11.08,
179,TIGER TOP10,"10,650",235,+2.26%,0,"13,680","128,450",0.11,"146,612",N/A,N/A,
180,효성티앤씨,"313,500","4,000",+1.29%,"5,000","13,567","4,328",9.72,"12,799",2.77,76.22,
181,일진하이솔루스,"36,900","1,200",-3.15%,500,"13,400","36,313",1.61,"192,556",150.00,4.97,
182,KODEX 2차전지산업,"20,030",155,+0.78%,0,"13,260","66,200",0.22,"1,100,410",N/A,N/A,
183,롯데렌탈,"35,750",100,+0.28%,"5,000","13,097","36,634",4.94,"31,623",8.76,12.28,
184,KODEX 삼성그룹,"8,545",105,+1.24%,0,"13,065","152,900",0.05,"671,634",N/A,N/A,
185,TIGER 2차전지테마,"19,920",160,+0.81%,0,"13,048","65,500",0.20,"507,564",N/A,N/A,
186,서울가스,"257,000",500,-0.19%,"5,000","12,850","5,000",5.01,"33,236",63.50,0.80,
187,영풍,"697,000","67,000",+10.63%,"5,000","12,839","1,842",3.90,"14,361",7.17,3.66,
188,한샘,"53,800",200,+0.37%,"1,000","12,661","23,534",14.12,"40,157",41.38,9.10,
189,동국제강,"13,250",0,0.00%,"5,000","12,645","95,433",22.70,"221,034",1.60,23.41,
190,KODEX 단기채권,"103,590",30,+0.03%,0,"12,644","12,206",0.53,"227,773",N/A,N/A,
191,DGB금융지주,"7,450",20,+0.27%,"5,000","12,601","169,146",46.62,"304,296",2.33,9.63,
192,KG스틸,"12,550",100,-0.79%,"5,000","12,551","100,009",0.85,"926,136",5.22,17.99,
193,롯데리츠,"5,130",60,+1.18%,500,"12,464","242,969",10.86,"156,617",33.75,1.59,
194,한국앤컴퍼니,"13,100",250,-1.87%,500,"12,437","94,935",9.10,"61,870",5.50,5.53,
195,KODEX 종합채권(AA-이상)액티브,"100,980",70,-0.07%,0,"12,336","12,216",0.00,986,N/A,N/A,
196,TIGER MSCI Korea TR,"13,275",160,+1.22%,0,"12,293","92,600",4.75,"2,157",N/A,N/A,
197,현대두산인프라코어,"6,170",40,+0.65%,"1,000","12,202","197,763",7.06,"2,831,256",2.47,24.63,
198,현대엘리베이,"29,300",250,+0.86%,"5,000","11,959","40,815",29.42,"54,573",6.85,10.62,
199,한미반도체,"12,050",150,+1.26%,100,"11,920","98,920",5.34,"320,829",10.56,34.59,
200,롯데제과,"125,000","2,000",+1.63%,500,"11,793","9,435",14.30,"7,587",24.28,2.88,
